,Flood_level,NO_OP_Prop_exp,NO_OP_AAPE,OP1_Prop_exp,OP1_AAPE,OP2_Prop_exp,OP2_AAPE,OP3_Prop_exp,OP3_AAPE,OP4_Prop_exp,OP4_AAPE
0.81,0.81,10,1.6,1,0.0,6,0.0,9,0.0,1,0.0
0.82,0.82,13,1.6,2,0.0,8,0.0,12,0.0,1,0.0
0.83,0.83,14,1.6,2,0.0,8,0.0,13,0.0,1,0.0
0.84,0.84,14,1.6,3,0.0,8,0.0,13,0.0,1,0.0
0.85,0.85,14,1.6,3,0.0,8,0.0,13,0.0,1,0.0
0.86,0.86,14,1.6,7,0.0,8,0.0,13,0.0,1,0.0
0.87,0.87,16,2.5,8,0.0,9,0.0,14,0.0,1,0.0
0.88,0.88,19,2.5,8,0.0,9,0.0,17,0.0,1,0.0
0.89,0.89,22,4.7,8,0.0,9,0.0,18,0.0,1,0.0
0.9,0.9,24,4.7,8,0.0,9,0.0,20,0.0,1,0.0
0.91,0.91,25,4.7,8,0.0,9,0.0,21,0.0,1,0.0
0.92,0.92,30,5.7,8,0.0,9,0.0,25,0.0,1,0.0
0.93,0.93,31,5.7,8,0.0,9,0.0,26,0.0,1,0.0
0.94,0.94,35,9.3,8,0.0,9,0.0,27,0.0,1,0.0
0.95,0.95,40,12.1,9,0.0,10,0.0,30,0.0,1,0.0
0.96,0.96,45,15.5,9,0.0,11,0.0,32,0.0,1,0.0
0.97,0.97,49,16.9,10,0.0,13,0.0,35,0.0,1,0.0
0.98,0.98,57,22.6,10,0.0,12,0.0,38,0.0,1,0.0
0.99,0.99,59,22.9,12,0.0,13,0.0,40,0.0,1,0.0
1.0,1.0,69,27.6,13,0.0,14,0.0,45,0.0,1,0.0
1.01,1.01,77,31.9,13,0.0,14,0.0,49,0.0,2,0.0
1.02,1.02,82,35.0,13,0.0,14,0.0,51,0.0,2,0.0
1.03,1.03,92,40.6,13,0.0,15,0.0,56,0.0,2,0.0
1.04,1.04,101,44.2,16,0.0,18,0.0,63,0.0,2,0.0
1.05,1.05,111,47.3,18,0.0,19,0.0,71,0.0,2,0.0
1.06,1.06,112,47.3,18,0.0,19,0.0,72,0.0,2,0.0
1.07,1.07,124,55.8,18,0.0,19,0.0,78,0.0,2,0.0
1.08,1.08,132,62.3,18,0.0,20,0.0,81,0.0,3,0.0
1.09,1.09,143,70.6,19,0.0,21,0.0,86,0.0,3,0.0
1.1,1.1,157,82.5,19,0.0,20,0.0,92,0.0,2,0.0
1.11,1.11,174,89.6,22,0.0,23,1.7,104,1.7,4,1.7
1.12,1.12,186,95.8,22,0.0,24,1.7,111,1.7,4,1.7
1.13,1.13,200,102.7,24,1.7,24,1.7,121,1.7,5,1.7
1.14,1.14,215,110.2,24,1.7,24,1.7,129,1.7,5,1.7
1.15,1.15,227,114.4,23,0.0,23,0.0,136,0.0,4,0.0
1.16,1.16,243,120.6,24,0.0,24,0.0,148,1.2,5,1.2
1.17,1.17,263,133.4,25,1.2,24,0.0,157,1.2,5,1.2
1.18,1.18,270,134.9,25,1.2,24,0.0,163,1.2,5,1.2
1.19,1.19,287,144.3,26,2.9,25,1.7,173,2.9,6,2.9
1.2,1.2,301,153.4,26,2.9,25,1.7,180,2.9,6,2.9
1.21,1.21,315,159.9,27,2.9,26,2.8,189,4.0,8,4.0
1.22,1.22,327,167.3,28,2.9,27,2.8,197,6.4,10,6.4
1.23,1.23,342,174.3,28,2.9,28,3.9,207,6.3,10,6.3
1.24,1.24,357,182.9,30,4.5,29,5.5,217,9.1,13,9.1
1.25,1.25,374,191.9,32,5.7,30,5.5,229,10.3,14,10.3
1.26,1.26,389,202.2,33,6.9,30,5.5,238,11.5,15,11.5
1.27,1.27,399,205.9,36,8.1,32,5.5,244,10.3,15,10.3
1.28,1.28,417,213.8,36,8.1,33,6.6,257,12.6,17,12.6
1.29,1.29,427,221.3,37,10.5,33,6.6,262,13.8,18,13.8
1.3,1.3,441,230.0,37,10.5,33,6.6,270,13.8,18,13.8
1.31,1.31,451,235.4,39,10.5,33,6.6,276,13.8,18,13.8
1.32,1.32,466,243.0,42,10.5,34,6.6,285,13.8,19,13.8
1.33,1.33,479,247.7,43,10.5,36,7.8,295,15.0,20,15.0
1.34,1.34,490,254.7,43,10.5,36,8.0,300,15.2,21,15.2
1.35,1.35,500,261.0,44,10.5,37,9.2,306,16.4,22,16.4
1.36,1.36,507,262.9,44,10.5,37,9.2,311,16.4,22,16.4
1.37,1.37,517,271.9,45,10.5,38,10.4,316,19.1,24,19.1
1.38,1.38,531,274.9,45,10.5,39,11.6,327,19.1,24,19.1
1.39,1.39,536,279.7,45,10.5,39,11.6,329,19.1,24,19.1
1.4,1.4,545,286.7,46,10.5,40,11.6,334,20.3,25,20.3
1.41,1.41,554,294.7,46,10.5,40,11.6,338,21.5,26,21.5
1.42,1.42,563,300.2,47,10.5,40,11.6,344,23.0,30,23.0
1.43,1.43,569,302.0,47,10.5,40,11.6,348,23.0,31,23.0
1.44,1.44,580,312.0,50,12.9,42,13.1,354,25.7,33,25.7
1.45,1.45,587,314.8,51,12.9,42,13.1,360,26.9,36,26.9
1.46,1.46,592,316.0,52,14.1,43,14.3,365,28.1,36,28.1
1.47,1.47,597,319.7,52,14.1,44,15.7,369,30.5,41,30.5
1.48,1.48,604,319.7,53,14.1,44,15.7,376,30.5,42,30.5
1.49,1.49,620,329.5,53,14.1,45,17.3,387,32.1,45,32.1
1.5,1.5,632,337.4,53,14.1,45,17.3,394,32.1,46,32.1
1.51,1.51,641,348.0,54,15.2,46,18.4,398,34.2,48,34.2
1.52,1.52,653,357.0,56,16.3,48,19.5,404,35.3,51,35.3
1.53,1.53,671,372.5,56,16.3,47,19.5,414,39.0,55,39.0
